combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-106a-5p + hsa-miR-429,0.081,0.731,0.207,-0.337,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-2110,0.048,0.731,0.208,0.190,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-200a-3p,0.291,0.732,0.164,-0.013,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-20b-5p,0.071,0.732,0.189,-0.140,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-3714,0.203,0.734,0.591,0.163,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-200c-3p,0.089,0.736,0.002,-0.118,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-34b-5p,0.191,0.740,0.189,0.184,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-20b-5p,0.089,0.740,0.335,0.129,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-20a-5p,0.097,0.741,0.052,-0.083,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-3714,0.194,0.743,0.409,0.051,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-34b-5p,0.186,0.744,0.367,0.171,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-3714,0.190,0.747,0.502,0.184,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-450b-3p,0.175,0.747,0.075,0.012,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-128-3p,0.264,0.751,0.128,0.144,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-450b-3p,0.185,0.751,0.424,0.197,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-449a,0.107,0.752,0.116,-0.013,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-124-3p,0.262,0.752,0.157,0.174,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-137,0.083,0.753,0.277,0.166,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-340-5p,0.061,0.754,0.107,-0.036,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-25-3p,0.254,0.758,0.262,-0.031,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-34b-5p,0.169,0.762,0.304,0.171,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-429,0.069,0.762,0.115,-0.128,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-93-5p,0.051,0.765,0.521,-0.052,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-20b-5p,0.244,0.766,0.195,0.002,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-20b-5p,0.084,0.768,0.040,-0.037,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-449a,0.095,0.773,0.145,0.085,FALSE,FALSE,FALSE
hsa-miR-452-5p + hsa-miR-873-5p,0.025,0.773,0.495,-0.168,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-34b-5p,0.151,0.781,0.343,0.185,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-873-5p,0.024,0.783,0.340,-0.175,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-34a-5p,0.221,0.783,0.373,0.191,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-200a-3p,0.052,0.784,0.156,0.064,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-204-5p,0.103,0.788,0.592,0.015,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-27b-3p,0.031,0.792,0.408,0.107,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-196a-5p,0.059,0.792,0.429,0.110,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-449b-5p,0.095,0.795,0.296,0.151,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-27b-3p,0.062,0.800,0.173,-0.050,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-34b-5p,0.135,0.801,0.540,0.155,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-2110,0.094,0.802,0.659,0.169,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-506-3p,0.267,0.807,0.324,0.073,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-450b-3p,0.123,0.808,0.066,0.035,FALSE,FALSE,FALSE
hsa-miR-873-5p + hsa-miR-93-5p,0.029,0.808,0.139,-0.250,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-873-5p,0.022,0.808,0.617,-0.297,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-506-3p,0.262,0.810,0.337,0.189,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-450b-3p,0.117,0.817,0.320,-0.097,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-27b-3p,0.029,0.820,0.516,0.188,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-17-5p,0.017,0.825,0.557,-0.392,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-449a,0.068,0.826,0.658,0.104,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-873-5p,0.053,0.826,0.612,0.165,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-193b-3p,0.023,0.827,0.571,0.109,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-429,0.046,0.828,0.226,-0.028,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-449a,0.078,0.829,0.361,0.120,TRUE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-27b-3p,0.024,0.831,0.571,-0.135,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-340-5p,0.035,0.832,0.236,0.057,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-34b-5p,0.107,0.835,0.391,0.165,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-10a-5p,0.019,0.837,0.631,-0.346,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-506-3p,0.214,0.839,0.437,-0.004,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-20a-5p,0.018,0.840,0.438,-0.285,TRUE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-506-3p,0.209,0.842,0.481,0.183,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-200c-3p,0.047,0.843,0.207,-0.206,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-506-3p,0.208,0.843,0.632,0.178,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-873-5p,0.017,0.845,0.509,-0.308,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-92a-3p,0.017,0.846,0.566,-0.191,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-2110,0.047,0.854,0.295,0.159,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-20a-5p,0.016,0.855,0.461,-0.306,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-3937,0.129,0.855,0.341,0.142,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-200b-3p,0.047,0.856,0.297,-0.135,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-506-3p,0.187,0.857,0.472,0.094,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-873-5p,0.016,0.857,0.479,-0.326,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-452-5p,0.010,0.858,0.586,-0.064,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-449a,0.053,0.860,0.389,0.037,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-506-3p,0.179,0.862,0.501,-0.079,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-27a-3p,0.020,0.864,0.737,-0.297,FALSE,FALSE,FALSE
